disease,drug,description
stimulant,Jaiphal,Utilized as a stimulant
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
arthritis,ajwan water,Helps in reducing arthritis pain.
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
Expectorant,Madana,Utilized for its expectorant properties.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
nausea,Laung,Laung helps in relieving nausea and vomiting.
Diuretic,Bilai kand,Used for its diuretic effects.
diarrhea,ajamodarka,Aids in digestion and reduces diarrhea symptoms.
gastritis,laxative,Alleviates constipation and discomfort.
gastritis,laxative,Alleviates constipation and discomfort.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
Biliousness,Bark,Addressing biliousness or excess bile secretion.
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
arthritis,ginger ,No description available
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Haematinic,Pipli,Employed for its effects on blood formation.
diuretic,Prasarani, Used for its diuretic effects.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
migraine,trikatu,Reduces migraine intensity and frequency.
Emetic,Madana,Employed as an emetic agent.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Astringent,Anar,Used traditionally for its astringent effects.
Antispasmodic,Madana,Employed for its antispasmodic properties.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
migraine,Jyotishmati,No description available
stimulant,Jaiphal,Utilized as a stimulant
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
migraine,ashwagandha,Helps in managing stress-related migraines.
diarrhea,bilwa,Helps in controlling loose motions.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
